## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-21T19:50:58.885Z  / File Creation Date = Date for Citation
#CITATION1: "Ocean Networks Canada Society. 2012. Cambridge Bay Water Quality Monitor Deployed 2012-10-02. Ocean Networks Canada Society. https://doi.org/10.34943/d1411630-2b5e-418d-b9ca-7f78af5b26b0. Subset Query: 31177902. Accessed 2025-06-21."  / Citation Title
#CITATION2: "Ocean Networks Canada Society. 2013. Cambridge Bay Water Quality Monitor Deployed 2013-09-03. Ocean Networks Canada Society. https://doi.org/10.34943/511f07f7-236c-4573-8146-6e6994d10bed. Subset Query: 31177901. Accessed 2025-06-21."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_WaterQualityMonitor_SoundSpeed_20121006T043000Z_20140916T060000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50649292                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113860                         / Latitude North
#LONGITUDE:  -105.060580                         / Longitude East
#DEPTH:         6.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Water Quality Monitor                   / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2012-10-06T04:15:12.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs Water Quality Monitor 233"  / Device Name of Device 1
#DEVCODE1:  WETLABSWQM233                        / Device Code of Device 1
#DEVID1:    13200                                / Device ID of Device 1
#
#DEPLDATE2: 2013-09-03T02:18:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs Water Quality Monitor 196"  / Device Name of Device 2
#DEVCODE2:  WETLABSWQM196                        / Device Code of Device 2
#DEVID2:    9001                                 / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2012-10-06T04:30:00.000Z             / Data Start Time
#DATETO:    2014-09-16T06:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2010-11-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2012-04-30T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 33984                                / Samples in File
#TOTSMPEXP: 68166                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Sound Speed (m/s)", "Sound Speed QC Flag", "Sound Speed Count"
## END HEADER
2013-04-30T04:37:30.000Z, NaN, 4, 0
2013-04-30T04:52:30.000Z, NaN, 4, 0
2013-04-30T05:07:30.000Z, NaN, 4, 0
2013-04-30T05:22:30.000Z, NaN, 4, 0
2013-04-30T05:37:30.000Z, NaN, 4, 0
2013-04-30T05:52:30.000Z, NaN, 4, 0
2013-04-30T06:07:30.000Z, NaN, 4, 0
2013-04-30T06:22:30.000Z, NaN, 4, 0
2013-04-30T06:37:30.000Z, NaN, 4, 0
2013-04-30T06:52:30.000Z, NaN, 4, 0
2013-04-30T07:07:30.000Z, NaN, 4, 0
2013-04-30T07:22:30.000Z, NaN, 4, 0
2013-04-30T07:37:30.000Z, NaN, 4, 0
2013-04-30T07:52:30.000Z, NaN, 4, 0
2013-04-30T08:07:30.000Z, NaN, 4, 0
2013-04-30T08:22:30.000Z, NaN, 4, 0
2013-04-30T08:37:30.000Z, NaN, 4, 0
2013-04-30T08:52:30.000Z, NaN, 4, 0
2013-04-30T09:07:30.000Z, NaN, 4, 0
2013-04-30T09:22:30.000Z, NaN, 4, 0
2013-04-30T09:37:30.000Z, NaN, 4, 0
2013-04-30T09:52:30.000Z, NaN, 4, 0
2013-04-30T10:07:30.000Z, NaN, 4, 0
2013-04-30T10:22:30.000Z, NaN, 4, 0
2013-04-30T10:37:30.000Z, NaN, 4, 0
2013-04-30T10:52:30.000Z, NaN, 4, 0
2013-04-30T11:07:30.000Z, NaN, 4, 0
2013-04-30T11:22:30.000Z, NaN, 4, 0
2013-04-30T11:37:30.000Z, NaN, 4, 0
2013-04-30T11:52:30.000Z, NaN, 4, 0
2013-04-30T12:07:30.000Z, NaN, 4, 0
2013-04-30T12:22:30.000Z, NaN, 4, 0
2013-04-30T12:37:30.000Z, NaN, 4, 0
2013-04-30T12:52:30.000Z, NaN, 4, 0
2013-04-30T13:07:30.000Z, NaN, 4, 0
2013-04-30T13:22:30.000Z, NaN, 4, 0
2013-04-30T13:37:30.000Z, NaN, 4, 0
2013-04-30T13:52:30.000Z, NaN, 4, 0
2013-04-30T14:07:30.000Z, NaN, 4, 0
2013-04-30T14:22:30.000Z, NaN, 4, 0
2013-04-30T14:37:30.000Z, NaN, 4, 0
2013-04-30T14:52:30.000Z, NaN, 4, 0
2013-04-30T15:07:30.000Z, NaN, 4, 0
2013-04-30T15:22:30.000Z, NaN, 4, 0
2013-04-30T15:37:30.000Z, NaN, 4, 0
2013-04-30T15:52:30.000Z, NaN, 4, 0
2013-04-30T16:07:30.000Z, NaN, 4, 0
2013-04-30T16:22:30.000Z, NaN, 4, 0
2013-04-30T16:37:30.000Z, NaN, 4, 0
2013-04-30T16:52:30.000Z, NaN, 4, 0
2013-04-30T17:07:30.000Z, NaN, 4, 0
2013-04-30T17:22:30.000Z, NaN, 4, 0
2013-04-30T17:37:30.000Z, NaN, 4, 0
2013-04-30T17:52:30.000Z, NaN, 4, 0
2013-04-30T18:07:30.000Z, NaN, 4, 0
2013-04-30T18:22:30.000Z, NaN, 4, 0
2013-04-30T18:37:30.000Z, NaN, 4, 0
2013-04-30T18:52:30.000Z, NaN, 4, 0
2013-04-30T19:07:30.000Z, NaN, 4, 0
2013-04-30T19:22:30.000Z, NaN, 4, 0
2013-04-30T19:37:30.000Z, NaN, 4, 0
2013-04-30T19:52:30.000Z, NaN, 4, 0
2013-04-30T20:07:30.000Z, NaN, 4, 0
2013-04-30T20:22:30.000Z, NaN, 4, 0
2013-04-30T20:37:30.000Z, NaN, 4, 0
2013-04-30T20:52:30.000Z, NaN, 4, 0
2013-04-30T21:07:30.000Z, NaN, 4, 0
2013-04-30T21:22:30.000Z, NaN, 4, 0
2013-04-30T21:37:30.000Z, NaN, 4, 0
2013-04-30T21:52:30.000Z, NaN, 4, 0
2013-04-30T22:07:30.000Z, NaN, 4, 0
2013-04-30T22:22:30.000Z, NaN, 4, 0
2013-04-30T22:37:30.000Z, NaN, 4, 0
2013-04-30T22:52:30.000Z, NaN, 4, 0
2013-04-30T23:07:30.000Z, NaN, 4, 0
2013-04-30T23:22:30.000Z, NaN, 4, 0
2013-04-30T23:37:30.000Z, NaN, 4, 0
2013-04-30T23:52:30.000Z, NaN, 4, 0
2013-05-01T00:07:30.000Z, NaN, 4, 0
2013-05-01T00:22:30.000Z, NaN, 4, 0
2013-05-01T00:37:30.000Z, NaN, 4, 0
2013-05-01T00:52:30.000Z, NaN, 4, 0
2013-05-01T01:07:30.000Z, NaN, 4, 0
2013-05-01T01:22:30.000Z, NaN, 4, 0
2013-05-01T01:37:30.000Z, NaN, 4, 0
2013-05-01T01:52:30.000Z, NaN, 4, 0
2013-05-01T02:07:30.000Z, NaN, 4, 0
2013-05-01T02:22:30.000Z, NaN, 4, 0
2013-05-01T02:37:30.000Z, NaN, 4, 0
2013-05-01T02:52:30.000Z, NaN, 4, 0
2013-05-01T03:07:30.000Z, NaN, 4, 0
2013-05-01T03:22:30.000Z, NaN, 4, 0
2013-05-01T03:37:30.000Z, NaN, 4, 0
2013-05-01T03:52:30.000Z, NaN, 4, 0
2013-05-01T04:07:30.000Z, NaN, 4, 0
2013-05-01T04:22:30.000Z, NaN, 4, 0
2013-05-01T04:37:30.000Z, NaN, 4, 0
2013-05-01T04:52:30.000Z, NaN, 4, 0
2013-05-01T05:07:30.000Z, NaN, 4, 0
2013-05-01T05:22:30.000Z, NaN, 4, 0
2013-05-01T05:37:30.000Z, NaN, 4, 0
2013-05-01T05:52:30.000Z, NaN, 4, 0
2013-05-01T06:07:30.000Z, NaN, 4, 0
2013-05-01T06:22:30.000Z, NaN, 4, 0
2013-05-01T06:37:30.000Z, NaN, 4, 0
2013-05-01T06:52:30.000Z, NaN, 4, 0
2013-05-01T07:07:30.000Z, NaN, 4, 0
2013-05-01T07:22:30.000Z, NaN, 4, 0
2013-05-01T07:37:30.000Z, NaN, 4, 0
2013-05-01T07:52:30.000Z, NaN, 4, 0
2013-05-01T08:07:30.000Z, NaN, 4, 0
2013-05-01T08:22:30.000Z, NaN, 4, 0
2013-05-01T08:37:30.000Z, NaN, 4, 0
2013-05-01T08:52:30.000Z, NaN, 4, 0
2013-05-01T09:07:30.000Z, NaN, 4, 0
2013-05-01T09:22:30.000Z, NaN, 4, 0
2013-05-01T09:37:30.000Z, NaN, 4, 0
2013-05-01T09:52:30.000Z, NaN, 4, 0
2013-05-01T10:07:30.000Z, NaN, 4, 0
2013-05-01T10:22:30.000Z, NaN, 4, 0
2013-05-01T10:37:30.000Z, NaN, 4, 0
2013-05-01T10:52:30.000Z, NaN, 4, 0
2013-05-01T11:07:30.000Z, NaN, 4, 0
2013-05-01T11:22:30.000Z, NaN, 4, 0
2013-05-01T11:37:30.000Z, NaN, 4, 0
2013-05-01T11:52:30.000Z, NaN, 4, 0
2013-05-01T12:07:30.000Z, NaN, 4, 0
2013-05-01T12:22:30.000Z, NaN, 4, 0
2013-05-01T12:37:30.000Z, NaN, 4, 0
2013-05-01T12:52:30.000Z, NaN, 4, 0
2013-05-01T13:07:30.000Z, NaN, 4, 0
2013-05-01T13:22:30.000Z, NaN, 4, 0
2013-05-01T13:37:30.000Z, NaN, 4, 0
2013-05-01T13:52:30.000Z, NaN, 4, 0
2013-05-01T14:07:30.000Z, NaN, 4, 0
2013-05-01T14:22:30.000Z, NaN, 4, 0
2013-05-01T14:37:30.000Z, NaN, 4, 0
2013-05-01T14:52:30.000Z, NaN, 4, 0
2013-05-01T15:07:30.000Z, NaN, 4, 0
2013-05-01T15:22:30.000Z, NaN, 4, 0
2013-05-01T15:37:30.000Z, NaN, 4, 0
2013-05-01T15:52:30.000Z, NaN, 4, 0
2013-05-01T16:07:30.000Z, NaN, 4, 0
2013-05-01T16:22:30.000Z, NaN, 4, 0
2013-05-01T16:37:30.000Z, NaN, 4, 0
2013-05-01T16:52:30.000Z, NaN, 4, 0
2013-05-01T17:07:30.000Z, NaN, 4, 0
2013-05-01T17:22:30.000Z, NaN, 4, 0
2013-05-01T17:37:30.000Z, NaN, 4, 0
2013-05-01T17:52:30.000Z, NaN, 4, 0
2013-05-01T18:07:30.000Z, NaN, 4, 0
2013-05-01T18:22:30.000Z, NaN, 4, 0
2013-05-01T18:37:30.000Z, NaN, 4, 0
2013-05-01T18:52:30.000Z, NaN, 4, 0
2013-05-01T19:07:30.000Z, NaN, 4, 0
2013-05-01T19:22:30.000Z, NaN, 4, 0
2013-05-01T19:37:30.000Z, NaN, 4, 0
2013-05-01T19:52:30.000Z, NaN, 4, 0
2013-05-01T20:07:30.000Z, NaN, 4, 0
2013-05-01T20:22:30.000Z, NaN, 4, 0
2013-05-01T20:37:30.000Z, NaN, 4, 0
2013-05-01T20:52:30.000Z, NaN, 4, 0
2013-05-01T21:07:30.000Z, NaN, 4, 0
2013-05-01T21:22:30.000Z, NaN, 4, 0
2013-05-01T21:37:30.000Z, NaN, 4, 0
2013-05-01T21:52:30.000Z, NaN, 4, 0
2013-05-01T22:07:30.000Z, NaN, 4, 0
2013-05-01T22:22:30.000Z, NaN, 4, 0
2013-05-01T22:37:30.000Z, NaN, 4, 0
2013-05-01T22:52:30.000Z, NaN, 4, 0
2013-05-01T23:07:30.000Z, NaN, 4, 0
2013-05-01T23:22:30.000Z, NaN, 4, 0
2013-05-01T23:37:30.000Z, NaN, 4, 0
2013-05-01T23:52:30.000Z, NaN, 4, 0
2013-05-02T00:07:30.000Z, NaN, 4, 0
2013-05-02T00:22:30.000Z, NaN, 4, 0
2013-05-02T00:37:30.000Z, NaN, 4, 0
2013-05-02T00:52:30.000Z, NaN, 4, 0
2013-05-02T01:07:30.000Z, NaN, 4, 0
2013-05-02T01:22:30.000Z, NaN, 4, 0
2013-05-02T01:37:30.000Z, NaN, 4, 0
2013-05-02T01:52:30.000Z, NaN, 4, 0
2013-05-02T02:07:30.000Z, NaN, 4, 0
2013-05-02T02:22:30.000Z, NaN, 4, 0
2013-05-02T02:37:30.000Z, NaN, 4, 0
2013-05-02T02:52:30.000Z, NaN, 4, 0
2013-05-02T03:07:30.000Z, NaN, 4, 0
2013-05-02T03:22:30.000Z, NaN, 4, 0
2013-05-02T03:37:30.000Z, NaN, 4, 0
2013-05-02T03:52:30.000Z, NaN, 4, 0
2013-05-02T04:07:30.000Z, NaN, 4, 0
2013-05-02T04:22:30.000Z, NaN, 4, 0
2013-05-02T04:37:30.000Z, NaN, 4, 0
2013-05-02T04:52:30.000Z, NaN, 4, 0
2013-05-02T05:07:30.000Z, NaN, 4, 0
2013-05-02T05:22:30.000Z, NaN, 4, 0
2013-05-02T05:37:30.000Z, NaN, 4, 0
2013-05-02T05:52:30.000Z, NaN, 4, 0
2013-05-02T06:07:30.000Z, NaN, 4, 0
2013-05-02T06:22:30.000Z, NaN, 4, 0
2013-05-02T06:37:30.000Z, NaN, 4, 0
2013-05-02T06:52:30.000Z, NaN, 4, 0
2013-05-02T07:07:30.000Z, NaN, 4, 0
2013-05-02T07:22:30.000Z, NaN, 4, 0
2013-05-02T07:37:30.000Z, NaN, 4, 0
2013-05-02T07:52:30.000Z, NaN, 4, 0
2013-05-02T08:07:30.000Z, NaN, 4, 0
2013-05-02T08:22:30.000Z, NaN, 4, 0
2013-05-02T08:37:30.000Z, NaN, 4, 0
2013-05-02T08:52:30.000Z, NaN, 4, 0
2013-05-02T09:07:30.000Z, NaN, 4, 0
2013-05-02T09:22:30.000Z, NaN, 4, 0
2013-05-02T09:37:30.000Z, NaN, 4, 0
2013-05-02T09:52:30.000Z, NaN, 4, 0
2013-05-02T10:07:30.000Z, NaN, 4, 0
2013-05-02T10:22:30.000Z, NaN, 4, 0
2013-05-02T10:37:30.000Z, NaN, 4, 0
2013-05-02T10:52:30.000Z, NaN, 4, 0
2013-05-02T11:07:30.000Z, NaN, 4, 0
2013-05-02T11:22:30.000Z, NaN, 4, 0
2013-05-02T11:37:30.000Z, NaN, 4, 0
2013-05-02T11:52:30.000Z, NaN, 4, 0
2013-05-02T12:07:30.000Z, NaN, 4, 0
2013-05-02T12:22:30.000Z, NaN, 4, 0
2013-05-02T12:37:30.000Z, NaN, 4, 0
2013-05-02T12:52:30.000Z, NaN, 4, 0
2013-05-02T13:07:30.000Z, NaN, 4, 0
2013-05-02T13:22:30.000Z, NaN, 4, 0
2013-05-02T13:37:30.000Z, NaN, 4, 0
2013-05-02T13:52:30.000Z, NaN, 4, 0
2013-05-02T14:07:30.000Z, NaN, 4, 0
2013-05-02T14:22:30.000Z, NaN, 4, 0
2013-05-02T14:37:30.000Z, NaN, 4, 0
2013-05-02T14:52:30.000Z, NaN, 4, 0
2013-05-02T15:07:30.000Z, NaN, 4, 0
2013-05-02T15:22:30.000Z, NaN, 4, 0
2013-05-02T15:37:30.000Z, NaN, 4, 0
2013-05-02T15:52:30.000Z, NaN, 4, 0
2013-05-02T16:07:30.000Z, NaN, 4, 0
2013-05-02T16:22:30.000Z, NaN, 4, 0
2013-05-02T16:37:30.000Z, NaN, 4, 0
2013-05-02T16:52:30.000Z, NaN, 4, 0
2013-05-02T17:07:30.000Z, NaN, 4, 0
2013-05-02T17:22:30.000Z, NaN, 4, 0
2013-05-02T17:37:30.000Z, NaN, 4, 0
2013-05-02T17:52:30.000Z, NaN, 4, 0
2013-05-02T18:07:30.000Z, NaN, 4, 0
2013-05-02T18:22:30.000Z, NaN, 4, 0
2013-05-02T18:37:30.000Z, NaN, 4, 0
2013-05-02T18:52:30.000Z, NaN, 4, 0
2013-05-02T19:07:30.000Z, NaN, 4, 0
2013-05-02T19:22:30.000Z, NaN, 4, 0
2013-05-02T19:37:30.000Z, NaN, 4, 0
2013-05-02T19:52:30.000Z, NaN, 4, 0
2013-05-02T20:07:30.000Z, NaN, 4, 0
2013-05-02T20:22:30.000Z, NaN, 4, 0
2013-05-02T20:37:30.000Z, NaN, 4, 0
2013-05-02T20:52:30.000Z, NaN, 4, 0
2013-05-02T21:07:30.000Z, NaN, 4, 0
2013-05-02T21:22:30.000Z, NaN, 4, 0
2013-05-02T21:37:30.000Z, NaN, 4, 0
2013-05-02T21:52:30.000Z, NaN, 4, 0
2013-05-02T22:07:30.000Z, NaN, 4, 0
2013-05-02T22:22:30.000Z, NaN, 4, 0
2013-05-02T22:37:30.000Z, NaN, 4, 0
2013-05-02T22:52:30.000Z, NaN, 4, 0
2013-05-02T23:07:30.000Z, NaN, 4, 0
2013-05-02T23:22:30.000Z, NaN, 4, 0
2013-05-02T23:37:30.000Z, NaN, 4, 0
2013-05-02T23:52:30.000Z, NaN, 4, 0
2013-05-03T00:07:30.000Z, NaN, 4, 0
2013-05-03T00:22:30.000Z, NaN, 4, 0
2013-05-03T00:37:30.000Z, NaN, 4, 0
2013-05-03T00:52:30.000Z, NaN, 4, 0
2013-05-03T01:07:30.000Z, NaN, 4, 0
2013-05-03T01:22:30.000Z, NaN, 4, 0
2013-05-03T01:37:30.000Z, NaN, 4, 0
2013-05-03T01:52:30.000Z, NaN, 4, 0
2013-05-03T02:07:30.000Z, NaN, 4, 0
2013-05-03T02:22:30.000Z, NaN, 4, 0
2013-05-03T02:37:30.000Z, NaN, 4, 0
2013-05-03T02:52:30.000Z, NaN, 4, 0
2013-05-03T03:07:30.000Z, NaN, 4, 0
2013-05-03T03:22:30.000Z, NaN, 4, 0
2013-05-03T03:37:30.000Z, NaN, 4, 0
2013-05-03T03:52:30.000Z, NaN, 4, 0
2013-05-03T04:07:30.000Z, NaN, 4, 0
2013-05-03T04:22:30.000Z, NaN, 4, 0
2013-05-03T04:37:30.000Z, NaN, 4, 0
2013-05-03T04:52:30.000Z, NaN, 4, 0
2013-05-03T05:07:30.000Z, NaN, 4, 0
2013-05-03T05:22:30.000Z, NaN, 4, 0
2013-05-03T05:37:30.000Z, NaN, 4, 0
2013-05-03T05:52:30.000Z, NaN, 4, 0
2013-05-03T06:07:30.000Z, NaN, 4, 0
2013-05-03T06:22:30.000Z, NaN, 4, 0
2013-05-03T06:37:30.000Z, NaN, 4, 0
2013-05-03T06:52:30.000Z, NaN, 4, 0
2013-05-03T07:07:30.000Z, NaN, 4, 0
2013-05-03T07:22:30.000Z, NaN, 4, 0
2013-05-03T07:37:30.000Z, NaN, 4, 0
2013-05-03T07:52:30.000Z, NaN, 4, 0
2013-05-03T08:07:30.000Z, NaN, 4, 0
2013-05-03T08:22:30.000Z, NaN, 4, 0
2013-05-03T08:37:30.000Z, NaN, 4, 0
2013-05-03T08:52:30.000Z, NaN, 4, 0
2013-05-03T09:07:30.000Z, NaN, 4, 0
2013-05-03T09:22:30.000Z, NaN, 4, 0
2013-05-03T09:37:30.000Z, NaN, 4, 0
2013-05-03T09:52:30.000Z, NaN, 4, 0
2013-05-03T10:07:30.000Z, NaN, 4, 0
2013-05-03T10:22:30.000Z, NaN, 4, 0
2013-05-03T10:37:30.000Z, NaN, 4, 0
2013-05-03T10:52:30.000Z, NaN, 4, 0
2013-05-03T11:07:30.000Z, NaN, 4, 0
2013-05-03T11:22:30.000Z, NaN, 4, 0
2013-05-03T11:37:30.000Z, NaN, 4, 0
2013-05-03T11:52:30.000Z, NaN, 4, 0
2013-05-03T12:07:30.000Z, NaN, 4, 0
2013-05-03T12:22:30.000Z, NaN, 4, 0
2013-05-03T12:37:30.000Z, NaN, 4, 0
2013-05-03T12:52:30.000Z, NaN, 4, 0
2013-05-03T13:07:30.000Z, NaN, 4, 0
2013-05-03T13:22:30.000Z, NaN, 4, 0
2013-05-03T13:37:30.000Z, NaN, 4, 0
2013-05-03T13:52:30.000Z, NaN, 4, 0
2013-05-03T14:07:30.000Z, NaN, 4, 0
2013-05-03T14:22:30.000Z, NaN, 4, 0
2013-05-03T14:37:30.000Z, NaN, 4, 0
2013-05-03T14:52:30.000Z, NaN, 4, 0
2013-05-03T15:07:30.000Z, NaN, 4, 0
2013-05-03T15:22:30.000Z, NaN, 4, 0
2013-05-03T15:37:30.000Z, NaN, 4, 0
2013-05-03T15:52:30.000Z, NaN, 4, 0
2013-05-03T16:07:30.000Z, NaN, 4, 0
2013-05-03T16:22:30.000Z, NaN, 4, 0
2013-05-03T16:37:30.000Z, NaN, 4, 0
2013-05-03T16:52:30.000Z, NaN, 4, 0
2013-05-03T17:07:30.000Z, NaN, 4, 0
2013-05-03T17:22:30.000Z, NaN, 4, 0
2013-05-03T17:37:30.000Z, NaN, 4, 0
2013-05-03T17:52:30.000Z, NaN, 4, 0
2013-05-03T18:07:30.000Z, NaN, 4, 0
2013-05-03T18:22:30.000Z, NaN, 4, 0
2013-05-03T18:37:30.000Z, NaN, 4, 0
2013-05-03T18:52:30.000Z, NaN, 4, 0
2013-05-03T19:07:30.000Z, NaN, 4, 0
2013-05-03T19:22:30.000Z, NaN, 4, 0
2013-05-03T19:37:30.000Z, NaN, 4, 0
2013-05-03T19:52:30.000Z, NaN, 4, 0
2013-05-03T20:07:30.000Z, NaN, 4, 0
2013-05-03T20:22:30.000Z, NaN, 4, 0
2013-05-03T20:37:30.000Z, NaN, 4, 0
2013-05-03T20:52:30.000Z, NaN, 4, 0
2013-05-03T21:07:30.000Z, NaN, 4, 0
2013-05-03T21:22:30.000Z, NaN, 4, 0
2013-05-03T21:37:30.000Z, NaN, 4, 0
2013-05-03T21:52:30.000Z, NaN, 4, 0
2013-05-03T22:07:30.000Z, NaN, 4, 0
2013-05-03T22:22:30.000Z, NaN, 4, 0
2013-05-03T22:37:30.000Z, NaN, 4, 0
2013-05-03T22:52:30.000Z, NaN, 4, 0
2013-05-03T23:07:30.000Z, NaN, 4, 0
2013-05-03T23:22:30.000Z, NaN, 4, 0
2013-05-03T23:37:30.000Z, NaN, 4, 0
2013-05-03T23:52:30.000Z, NaN, 4, 0
2013-05-04T00:07:30.000Z, NaN, 4, 0
2013-05-04T00:22:30.000Z, NaN, 4, 0
2013-05-04T00:37:30.000Z, NaN, 4, 0
2013-05-04T00:52:30.000Z, NaN, 4, 0
2013-05-04T01:07:30.000Z, NaN, 4, 0
2013-05-04T01:22:30.000Z, NaN, 4, 0
2013-05-04T01:37:30.000Z, NaN, 4, 0
2013-05-04T01:52:30.000Z, NaN, 4, 0
2013-05-04T02:07:30.000Z, NaN, 4, 0
2013-05-04T02:22:30.000Z, NaN, 4, 0
2013-05-04T02:37:30.000Z, NaN, 4, 0
2013-05-04T02:52:30.000Z, NaN, 4, 0
2013-05-04T03:07:30.000Z, NaN, 4, 0
2013-05-04T03:22:30.000Z, NaN, 4, 0
2013-05-04T03:37:30.000Z, NaN, 4, 0
2013-05-04T03:52:30.000Z, NaN, 4, 0
2013-05-04T04:07:30.000Z, NaN, 4, 0
2013-05-04T04:22:30.000Z, NaN, 4, 0
2013-05-04T04:37:30.000Z, NaN, 4, 0
2013-05-04T04:52:30.000Z, NaN, 4, 0
2013-05-04T05:07:30.000Z, NaN, 4, 0
2013-05-04T05:22:30.000Z, NaN, 4, 0
2013-05-04T05:37:30.000Z, NaN, 4, 0
2013-05-04T05:52:30.000Z, NaN, 4, 0
2013-05-04T06:07:30.000Z, NaN, 4, 0
2013-05-04T06:22:30.000Z, NaN, 4, 0
2013-05-04T06:37:30.000Z, NaN, 4, 0
2013-05-04T06:52:30.000Z, NaN, 4, 0
2013-05-04T07:07:30.000Z, NaN, 4, 0
2013-05-04T07:22:30.000Z, NaN, 4, 0
2013-05-04T07:37:30.000Z, NaN, 4, 0
2013-05-04T07:52:30.000Z, NaN, 4, 0
2013-05-04T08:07:30.000Z, NaN, 4, 0
2013-05-04T08:22:30.000Z, NaN, 4, 0
2013-05-04T08:37:30.000Z, NaN, 4, 0
2013-05-04T08:52:30.000Z, NaN, 4, 0
2013-05-04T09:07:30.000Z, NaN, 4, 0
2013-05-04T09:22:30.000Z, NaN, 4, 0
2013-05-04T09:37:30.000Z, NaN, 4, 0
2013-05-04T09:52:30.000Z, NaN, 4, 0
2013-05-04T10:07:30.000Z, NaN, 4, 0
2013-05-04T10:22:30.000Z, NaN, 4, 0
2013-05-04T10:37:30.000Z, NaN, 4, 0
2013-05-04T10:52:30.000Z, NaN, 4, 0
2013-05-04T11:07:30.000Z, NaN, 4, 0
2013-05-04T11:22:30.000Z, NaN, 4, 0
2013-05-04T11:37:30.000Z, NaN, 4, 0
2013-05-04T11:52:30.000Z, NaN, 4, 0
2013-05-04T12:07:30.000Z, NaN, 4, 0
2013-05-04T12:22:30.000Z, NaN, 4, 0
2013-05-04T12:37:30.000Z, NaN, 4, 0
2013-05-04T12:52:30.000Z, NaN, 4, 0
2013-05-04T13:07:30.000Z, NaN, 4, 0
2013-05-04T13:22:30.000Z, NaN, 4, 0
2013-05-04T13:37:30.000Z, NaN, 4, 0
2013-05-04T13:52:30.000Z, NaN, 4, 0
2013-05-04T14:07:30.000Z, NaN, 4, 0
2013-05-04T14:22:30.000Z, NaN, 4, 0
2013-05-04T14:37:30.000Z, NaN, 4, 0
2013-05-04T14:52:30.000Z, NaN, 4, 0
2013-05-04T15:07:30.000Z, NaN, 4, 0
2013-05-04T15:22:30.000Z, NaN, 4, 0
2013-05-04T15:37:30.000Z, NaN, 4, 0
2013-05-04T15:52:30.000Z, NaN, 4, 0
2013-05-04T16:07:30.000Z, NaN, 4, 0
2013-05-04T16:22:30.000Z, NaN, 4, 0
2013-05-04T16:37:30.000Z, NaN, 4, 0
2013-05-04T16:52:30.000Z, NaN, 4, 0
2013-05-04T17:07:30.000Z, NaN, 4, 0
2013-05-04T17:22:30.000Z, NaN, 4, 0
2013-05-04T17:37:30.000Z, NaN, 4, 0
2013-05-04T17:52:30.000Z, NaN, 4, 0
2013-05-04T18:07:30.000Z, NaN, 4, 0
2013-05-04T18:22:30.000Z, NaN, 4, 0
2013-05-04T18:37:30.000Z, NaN, 4, 0
2013-05-04T18:52:30.000Z, NaN, 4, 0
2013-05-04T19:07:30.000Z, NaN, 4, 0
2013-05-04T19:22:30.000Z, NaN, 4, 0
2013-05-04T19:37:30.000Z, NaN, 4, 0
2013-05-04T19:52:30.000Z, NaN, 4, 0
